;AT;BE;CH;CZ;DE;DK;ES;FR;GB;IE;IT;LU;NL;NO;PL;PT;SE
t1;6780;9046;6347;5609;46065;3280;21068;61614;29721;2926;25226;437;11017;14374;13606;5139;14820
t2;6447;8528;6429;5520;44399;3171;21531;61001;30299;2845;24198;424;10763;14181;12976;4977;14546
t3;6153;8041;6209;5397;42637;3043;18669;58330;29793;2638;22796;407;10164;13936;12344;4757;14208
t4;5835;7644;5957;5265;41576;2917;19159;54743;27815;2413;21511;393;9615;13654;11915;4433;14009
t5;5814;7479;5680;5214;40798;2830;19351;52804;25879;2252;20777;384;9248;13613;11664;4185;13931
t6;5848;7461;5718;5131;39851;2853;19049;52530;24222;2132;20715;383;9236;13710;11562;4043;14142
t7;5897;7505;5357;5106;38102;2928;25261;52569;23601;2078;21428;379;9519;13983;11618;3960;14510
t8;6247;7287;5057;5091;38397;3047;19264;52686;24105;2089;21722;393;9827;14324;11464;3927;14907
t9;6565;7310;5097;5056;39013;3123;30778;51921;24473;2122;22000;396;10094;14637;11316;3697;15138
t10;6953;7523;5210;5455;41423;3252;21113;53209;25366;2115;23738;396;10421;14891;11847;3788;15317
t11;7254;8001;5345;5877;43640;3485;33005;54822;28096;2262;25872;412;11044;15424;12458;4126;15776
t12;7318;8500;5359;6032;46097;3638;23420;56710;31542;2554;28024;437;11572;15828;12970;4634;16216
t13;7092;8785;5784;6142;47080;3710;32942;59510;34350;2851;28267;450;11827;16174;13307;5102;16459
t14;6986;8833;5745;6194;46481;3729;24476;57211;36307;3098;26614;437;11789;16250;13689;5226;16641
t15;6858;8481;5644;6333;46090;3762;31156;55260;36582;3185;24988;433;11831;16397;13784;4986;16987
t16;7002;8336;5580;6380;46631;3808;22774;54508;36474;3138;24802;430;11870;16540;14039;4875;17650
t17;7849;8393;5828;6652;49624;4082;31916;55449;36861;3077;25865;439;12330;16753;15414;4884;18187
t18;8174;9003;6324;6779;54338;4402;26184;60117;39188;3223;30015;480;13629;17052;15798;5023;18338
t19;8152;9211;6442;6757;55029;4329;33531;62208;40355;3505;31321;494;13801;16585;15904;5684;17924
t20;7855;9143;6305;6705;54283;4113;27948;62204;38924;3466;31792;489;13624;16210;16024;5854;17492
t21;7388;8934;6062;6612;51880;3893;32958;60165;37052;3336;31432;469;13211;16062;15689;5903;16875
t22;7032;8705;6067;6268;50477;3704;27736;57700;35081;3203;30211;452;12563;15685;14976;5919;16252
t23;7102;9121;6247;6070;49953;3401;28578;60880;32781;3059;27991;460;11898;15273;14209;5791;15580
t24;6540;9126;6163;5728;46719;3163;23288;59665;30253;2871;25379;434;11069;14891;13170;5574;14873
t25;6180;8444;6137;5584;43315;3017;23729;55129;27574;2839;22792;403;10308;14308;12278;5051;14284
t26;5954;7957;5984;5623;41083;2956;22656;54255;27263;2647;21091;388;9710;13968;11780;4672;14017
t27;5805;7553;5980;5586;40425;2953;21631;51783;26671;2399;20223;375;9354;13983;11616;4326;13941
t28;5745;7321;5831;5399;40638;2935;21391;49629;25717;2195;19903;375;9249;13936;11601;4156;13908
t29;5990;7368;5663;5439;41906;2974;21929;49826;24687;2121;20145;383;9273;14065;11920;4081;14052
t30;6708;7762;5793;5832;44403;3155;23474;52587;23928;2073;21511;408;9713;14585;12797;4040;14671
t31;7572;8551;5705;6541;49400;3653;26434;56852;25017;2083;25161;454;10934;15630;15128;4147;15835
t32;8439;9129;5599;7017;55096;4311;29083;60973;29037;2246;29288;524;12629;17084;16776;4497;17095
t33;8793;9763;5790;7273;59008;4627;31165;62884;33514;2584;33557;570;14194;17596;17625;4888;17801
t34;9038;10247;5987;7631;61468;4693;32442;64779;36725;2833;36821;592;14957;17764;18314;5652;17994
t35;9173;10516;6070;7892;63036;4808;32439;65436;39313;3135;37622;612;15481;17963;18621;6301;18338
