;;;;;;;h;h;MW/m2;MW/m2;MW/m2;m2;m2;m2;m2;;;;Mapping;;;
ID;NASA_Lat;NASA_Long;DEC_Lat;DEC_Long;CNTR_ID;class;VLH_wind;VLH_pv;a_spec_pv_r;a_spec_pv_u;a_spec_won;pv_area;wind_area;both_area;all_area;wind_wvlh;pv_wvlh;lu_not;_id1;_c;_id2;_won23
Lat253Lon279;253;279;36,5;-5,625;ES;3;2886,05944;1359,792363;0,000228622;0,000223942;2,04376E-05;24113152;260077568;11195392;295386112;0,006614398;0,006449586;1;Lat253Lon279;ES;Lat253Lon279;Won_3
Lat253Lon280;253;280;36,5;-5;ES;3;2759,25883;1374,269107;0,000226213;0,000221583;2,13768E-05;49087488;55976960;19807232;124871680;0,006323791;0,00651825;1;Lat253Lon280;ES;Lat253Lon280;Won_3
Lat254Lon278;254;278;37;-6,25;ES;3;2680,03262;1351,262246;0,000230065;0,000225355;2,20087E-05;39614464;58560512;861184;99036160;0,006142217;0,006409127;1;Lat254Lon278;ES;Lat254Lon278;Won_3
Lat254Lon279;254;279;37;-5,625;ES;3;2496,26936;1340,981059;0,000231829;0,000227083;2,36289E-05;50809856;235103232;17223680;303136768;0,00572106;0,006360363;1;Lat254Lon279;ES;Lat254Lon279;Won_3
Lat254Lon280;254;280;37;-5;ES;3;2284,23359;1343,206842;0,000231445;0,000226707;2,58222E-05;31002624;225630208;65449984;322082816;0,005235107;0,00637092;1;Lat254Lon280;ES;Lat254Lon280;Won_3
Lat254Lon281;254;281;37;-4,375;ES;3;2044,12886;1348,960555;0,000230458;0,00022574;2,88553E-05;23251968;122288128;32724992;178265088;0,004684825;0,00639821;1;Lat254Lon281;ES;Lat254Lon281;Won_3
Lat254Lon282;254;282;37;-3,75;ES;3;1880,24449;1368,319587;0,000227197;0,000222546;3,13704E-05;96452608;150707200;44781568;291941376;0,004309227;0,006490031;1;Lat254Lon282;ES;Lat254Lon282;Won_3
Lat254Lon283;254;283;37;-3,125;ES;3;1875,36568;1383,013752;0,000224783;0,000220182;3,1452E-05;18946048;24113152;38753280;81812480;0,004298046;0,006559727;1;Lat254Lon283;ES;Lat254Lon283;Won_3
Lat254Lon284;254;284;37;-2,5;ES;3;1999,60191;1384,451976;0,00022455;0,000219953;2,94979E-05;49087488;44781568;410784768;504653824;0,004582776;0,006566548;1;Lat254Lon284;ES;Lat254Lon284;Won_3
Lat254Lon311;254;311;37;14,375;IT;3;2201,611768;1343,766833;0,000231348;0,000226612;2,67913E-05;57699328;54254592;20668416;132622336;0,012458898;0,010909943;1;Lat254Lon311;IT;Lat254Lon311;Won_3
Lat254Lon312;254;312;37;15;IT;3;2513,71987;1336,125902;0,000232671;0,000227908;2,34648E-05;97313792;107648000;148123648;353085440;0,014225114;0,010847907;1;Lat254Lon312;IT;Lat254Lon312;Won_3
Lat255Lon274;255;274;37,5;-8,75;PT;3;3534,92097;1351,330462;0,000230053;0,000225344;1,66861E-05;1722368;526183424;2583552;530489344;0,043677532;0,03700119;1;Lat255Lon274;PT;Lat255Lon274;Won_3
Lat255Lon275;255;275;37,5;-8,125;PT;3;3356,80973;1331,268754;0,00023352;0,00022874;1,75714E-05;8611840;1454539776;4305920;1467457536;0,041476787;0,036451874;1;Lat255Lon275;PT;Lat255Lon275;Won_3
Lat255Lon276;255;276;37,5;-7,5;PT;3;3129,2015;1332,097188;0,000233375;0,000228598;1,88495E-05;6889472;1076480000;25835520;1109204992;0,038664457;0,036474558;1;Lat255Lon276;PT;Lat255Lon276;Won_3
Lat255Lon277;255;277;37,5;-6,875;ES;3;2923,37843;1332,729052;0,000233264;0,000228489;2,01767E-05;54254592;1858435072;120565760;2033255424;0,006699928;0,006321223;1;Lat255Lon277;ES;Lat255Lon277;Won_3
