;MW;MW;MW;vlh;MWh;
c;min_PV;min_won;min_woff;vlh_woff;dem_total;start_share
AT;1312,3;3338,5;0;0;68587079;0,104480822
BE;3705,9;2472,8;1702,8;3082,687478;84133693;0,193102009
CH;2253,9;347,6;0;0;45939445;0,061742365
CZ;2560;580;0;0;62914057;0,064468694
DE;49828,9;58071,2;7032,3;4132,744579;509776722;0,41857162
DK;1115,4;4868,6;1870;3143,355584;33404317;0,742508152
ES;7426,1;25257,1;0;4061,046799;243441435;0,309585242
FR;9006,8;14971;0;4061,046799;463459016;0,105317524
GB;14781,8;14996,3;13900;1806,396602;290487274;0,32011179
IE;10;2110,9;0;1806,396602;25770042;0,274973953
IT;5188,7;10578,7;0;4132,74458;308256242;0,077500428
LU;1,1;136,4;0;0;5139206;0,027287092
NL;4330,7;4035,9;1052,7;4061,046799;110943244;0,172803776
NO;0;1353;0;4874,693765;125905660;0,027127265
PL;473;6388,8;445;4132,74458;147386991;0,131967024
PT;356,4;5639,7;0;4061,046799;48728992;0,332203134
SE;0;8256,6;165;4874,693765;135126962;0,137324825
